Ticker,Revenue,Market Cap,BICS_4,GHG Scope 1P,Intensity,GHG Scope 1C,Year
UAL US Equity,37110.0,6273.7613,Airlines,33026.199,881.727297,32720.9,2011
UAL US Equity,37152.0,8470.1895,Airlines,32720.9,863.6600719999999,32086.699,2012
UAL US Equity,38279.0,13705.1869,Airlines,32086.699,819.250764,31360.1,2013
UAL US Equity,38901.0,25052.0385,Airlines,31360.1,800.2981930000001,31132.4,2014
UAL US Equity,37864.0,20892.1019,Airlines,31132.4,830.503882,31446.199,2015
UAL US Equity,36556.0,22928.9768,Airlines,31446.199,860.2445560000001,31447.1,2016
UAL US Equity,37784.0,19341.9933,Airlines,31447.1,858.175445,32425.301,2017
UAL US Equity,41303.0,22599.9636,Airlines,32425.301,805.585599,33273.102,2018
UAL US Equity,43259.0,22129.651,Airlines,33273.102,795.369703,34406.898,2019
UAL US Equity,15355.0,13487.3063,Airlines,34406.898,1008.4923480000001,15485.4,2020
UAL US Equity,24634.0,14176.4379,Airlines,15485.4,867.5205000000001,21370.5,2021
CPS US Equity,2853.509,632.1588,Auto Parts,58.088,22.187419,63.312,2011
CPS US Equity,2880.902,656.4824,Auto Parts,63.312,23.805044000000002,68.58,2012
CPS US Equity,3090.542,818.9848,Auto Parts,68.58,24.278266,75.033,2013
CPS US Equity,3243.987,986.2363,Auto Parts,75.033,23.882648,77.475,2014
CPS US Equity,3342.804,1354.6395,Auto Parts,77.475,20.987470000000002,70.157,2015
CPS US Equity,3472.891,1828.8554,Auto Parts,70.157,21.89847,76.051,2016
CPS US Equity,3618.126,2194.5384,Auto Parts,76.051,24.053888999999998,87.03,2017
CPS US Equity,3624.042,1090.5003,Auto Parts,87.03,23.526217,85.26,2018
CPS US Equity,3108.4,558.5058,Auto Parts,85.26,26.109896,81.16,2019
CPS US Equity,2375.439,585.8219,Auto Parts,81.16,25.822595,61.34,2020
CPS US Equity,2330.191,380.7902,Auto Parts,61.34,26.324022,61.34,2021
HDSN US Equity,44.322,34.4855,Industrial Wholesale & Rental,4.192,101.845585,4.514,2011
HDSN US Equity,56.447,87.8136,Industrial Wholesale & Rental,4.514,88.684961,5.006,2012
HDSN US Equity,58.634,92.7604,Industrial Wholesale & Rental,5.006,86.775591,5.088,2013
HDSN US Equity,55.81,121.8173,Industrial Wholesale & Rental,5.088,89.052141,4.97,2014
HDSN US Equity,79.722,97.4297,Industrial Wholesale & Rental,4.97,69.265698,5.522,2015
HDSN US Equity,105.481,332.1412,Industrial Wholesale & Rental,5.522,53.3461,5.627,2016
HDSN US Equity,140.38,257.3567,Industrial Wholesale & Rental,5.627,40.012822,5.617,2017
